000072  .NEXT.
000082  const
000091  LIT
0000A0  BLIT
0000BD  ALIT
0000D0  ABLIT
0000F6  DUP
000110  DROP
00011A  R>
00012C  >R
00013E  SWAP
000161  SP@
00016E  @
000179  B@
000185  !
000190  B!
00019A  ZERO
0001A9  +
0001B3  -
0001BF  MINUS
0001CB  =
0001CE  COM
0001D6  L
00021A  ABS
000243  <>
000257  U<
00026B  U>=
000280  <
000298  >=
0002B1  U>
0002BB  U<=
0002C6  >
0002CF  <=
00031E  NOT
000327  SKIP
000332  XDI
00033E  AND
00034F  OR
00035F  XOR
000370  BMOVE
000386  DO
0003A6  LOOP
0003DB  I
0003E2  e
0003E8  J
0003F5  K
000402  I+
00040A  Q
000412  OVER
000420  +!
00044A  SWAB
000458  OUTP
000467  INP
000477  ROT
000484  PICK
0004A1  *
0004C3  /MOD
0004D3  x/Gy
00052C  +LOOP
00057F  .JUMP.
000590  .JZERO.
0005A7  LEAVE
0005BD  +B!
0005D0  a
0005E4  MAX
0005F4  /
0005F9  MOVE
000607  MIN
00060D  H
00061C  NAND
00062A  NOR
000637  MOD
000651  .case.
00066F  SB!
00067A  BONE
000686  BZERO
000693  S!
00069D  -!
0006A2  E
0006A4  C
0006AD  BUFFER2
0006BC  BUFFER1
0006CB  rs-b
0006D7  s-b
0006E2  GAS?
0006EE  DP
0006F8  VPTR
000704  BASE
000710  LAST
00071C  STATE
000729  SCR
000734  IOFF
000740  E.O
00074B  E.B
000756  EMPTY
000763  BPTR
00076F  prev
00077B  FLD
000786  DELIM
000793  memap
0007A0  MEMAP!
0007B7  MEMAP@
0007C7  PROT
0007DA  UNPROT
0007EF  U!
0007FD  UB!
00080C  BYE
000818  MON
000828  abp
000833  okabp
000840  err?
00084C  ABORT
000858  OKABORT
000866  EXECUTE
00087E  RP@
000888  d-f-abptr
000899  s-b-ptr
0008A8  s-e-abptr
0008B9  e-s-c
0008D4  <e-s-c
0008F0  rs-b-ptr
000944  all-checks
000957  RET-CHECKS
000969  HERE
000976  DP+!
000994  o
00099E  n
0009C2  smark
0009DE  <FRAME
000A41  FRAME>
000A92  PARAM
000AFF  PARAM@
000B69  SPACES?
000B74  ?
000B95  BIT-CALC
000BC2  BIT@
000BCB  B
000BD2  BIT!
000BF8  <-L
000C0D  ->L
000C28  PTSTAT
000C36  PTDATA
000C44  PLSTAT
000C52  PLDATA
000C60  LITES
000CAB  GET
000CB6  PUT
000CC1  GETC
000CCE  PUTC
000CD9  .NLIST
000CED  POLLC
000D07  PUTCHR
000D12  f
000D27  COUNT
000D3F  TYPE
000D4C  S
000D59  STYPE
000D68  CR
000D7A  SPACE
000D8A  BKSP
000D99  BELL
000DA8  BTA
000DDC  .
000DE6  z
000E0F  d
000E2F  EXEC
000E5A  toff
000E66  MAXLEN
000E74  exf
000E7F  TBUF
000E8B  sharp
000E9D  rubo
000EA6  h
000EBB  EXPECT
000ECA  F
000F46  D
000F72  m
000F7A  R
000F85  radchk
000FA5  DIGIT
000FF4  hihl
001000  U*
00108C  NUMBER
0010A5  P
0010E6  W
0010EF  LITERAL
001107  Z
001126  PIMODE
001134  PDSEL
001141  PDDATA
00114F  PDSECT
00115D  PDTRK
00116A  PDCMD
001177  PDSTAT
0011A1  DRIVE
0011AE  SIDE
0011BA  CYL
0011C5  SECTOR
001233  setup
0012EE  werr
001304  rerr
001319  don
001337  DISKON
001347  DISKOFF
00135A  WOUT
001366  WIN
001371  WSTAT
00137E  WINNIE
0013AC  WRDY
0013B8  WRDYIN
0013E9  Y
00141E  X
00144F  SEC/CYL
00145E  CYL/DISK
00146E  SIDE/DISK
00147F  SEC/SIDE
00148F  BLK/DISK
00149F  C/L
0014C7  LASTWBLK
0014D7  DSTAT
0014E4  DPBLK
001524  WINNIE?
0015E0  p
0015E2  t
00162F  E-C
001654  LOAD
00168E  link
0016B0  search
0016FC  flush1
001728  FLUSH
001745  BLOCK
00177A  UPDATE
001796  wrd
0017DB  WORD
0017F1  FIND
001898  ystr
0018DD  OK
0018F1  QUERY
001909  k
001912  FNAME
001927  INTERPRET
00195D  ?BELL
001971  typerr
0019D2  enter
001A00  enterr
001A19  ENTER
001AD2  rmk
001ADD  CODE
001AEB  VARHERE
001AFC  RAMMARK
001B0F  RAMLEN
001B1A  s
001B23  R=
001B43  BR=
001B6E  ARRAY
001B7D  BARRAY
001B8D  TABLE
001B9C  BTABLE
001BAC  CONSTANT
001BC6  VARIABLE
001BF0  BVARIABLE
001C17  NEXT
001C2B  T
001C3B  zork
001C81  s-e-msg
001C9A  d-f-msg
001CD0  ES
